date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:58:32	47534/47534	---M--	200	added ('OK')	image/jpeg	etag:%22b9ae-64360228-56e960c876e7decc;;;%22	https://marketifythemes.net/html/elisc/img/news/2.jpg	C:/Users/yassi/Downloads/profel/marketifythemes.net/html/elisc/img/news/2.jpg	(from https://marketifythemes.net/html/elisc/index.html)
22:58:32	20986/20986	---M-Z	200	added ('OK')	application/x-javascript	etag:%2251fa-644d30a2-f617b4a3233ef3d2;gz%22	https://marketifythemes.net/html/elisc/js/init.js	C:/Users/yassi/Downloads/profel/marketifythemes.net/html/elisc/js/init.js	(from https://marketifythemes.net/html/elisc/index.html)
22:58:34	716888/716888	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22af058-64360226-2c0d56fcfae4e15;gz%22	https://marketifythemes.net/html/elisc/css/font/fontello.eot?26650032	C:/Users/yassi/Downloads/profel/marketifythemes.net/html/elisc/css/font/fontello3b7f.eot	(from https://marketifythemes.net/html/elisc/css/plugins.css)
22:58:35	343344/343344	---M--	200	added ('OK')	font/woff2	etag:%2253d30-64360226-e4d72f95a0682c76;;;%22	https://marketifythemes.net/html/elisc/css/font/fontello.woff2?26650032	C:/Users/yassi/Downloads/profel/marketifythemes.net/html/elisc/css/font/fontello3b7f.woff2	(from https://marketifythemes.net/html/elisc/css/plugins.css)
22:58:39	716720/716720	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22aefb0-64360227-bf1686021d864913;gz%22	https://marketifythemes.net/html/elisc/css/font/fontello.ttf?26650032	C:/Users/yassi/Downloads/profel/marketifythemes.net/html/elisc/css/font/fontello3b7f.ttf	(from https://marketifythemes.net/html/elisc/css/plugins.css)
22:58:40	1069730/1069730	---MCZ	200	added ('OK')	image/svg+xml	etag:%221052a2-64360228-cf362eca10afd198;gz%22	https://marketifythemes.net/html/elisc/css/font/fontello.svg?26650032	C:/Users/yassi/Downloads/profel/marketifythemes.net/html/elisc/css/font/fontello3b7f.svg	(from https://marketifythemes.net/html/elisc/css/plugins.css)
22:58:41	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/html/elisc/css/owl.video.play.png	C:/Users/yassi/Downloads/profel/marketifythemes.net/html/elisc/css/owl.video.play.40.delayed	(from https://marketifythemes.net/html/elisc/css/plugins.css)
22:58:42	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/html/elisc/img.svg	C:/Users/yassi/Downloads/profel/marketifythemes.net/html/elisc/img.svg	(from https://marketifythemes.net/html/elisc/js/init.js)
22:58:43	52/52	---MCZ	200	added ('OK')	text/html	date:Wed,%2021%20Feb%202024%2021:58:42%20GMT	https://marketifythemes.net/html/elisc/modal/contact.php	C:/Users/yassi/Downloads/profel/marketifythemes.net/html/elisc/modal/contact.html	(from https://marketifythemes.net/html/elisc/js/init.js)
22:59:28	441824/441824	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226bde0-64360226-fb178fb73102d901;;;%22	https://marketifythemes.net/html/elisc/css/font/fontello.woff?26650032	C:/Users/yassi/Downloads/profel/marketifythemes.net/html/elisc/css/font/fontello3b7f.woff	(from https://marketifythemes.net/html/elisc/css/plugins.css)
